"","source","id","onlyTrainingOptimization","model","performance","adaptModelInTesting","bMinus","bPlus","e"
"111","HumScrm","53",TRUE,"SiemannDelius",0.730865799941457,FALSE,1.92210056268593,0.435856388736293,0.213377341373975
"112","HumScrm","54",TRUE,"SiemannDelius",0.567844645433268,FALSE,0.243958198597759,2.44744784828007,0.308205394434137
"113","HumScrm","55",TRUE,"SiemannDelius",0.64435723732336,FALSE,0.618683463513738,0.395086480175689,0.300929942580382
"114","HumScrm","56",TRUE,"SiemannDelius",0.56843746379065,FALSE,-1.33713059522406,-0.885657394058199,1.38077562232252
"115","HumScrm","57",TRUE,"SiemannDelius",0.663077607597507,FALSE,1.08763309039761,0.449321433606434,0.244874816245447
"116","HumScrm","58",TRUE,"SiemannDelius",0.701563719400652,FALSE,1.09969423547274,0.388908887851094,0.312102744766322
"117","HumScrm","59",TRUE,"SiemannDelius",0.625315243534264,FALSE,0.603405552796908,0.382010886104793,0.343285161197307
"118","HumScrm","60",TRUE,"SiemannDelius",0.525856342294493,FALSE,0.572153622797345,1.81239750330686,1.61192169945962
"119","HumScrm","61",TRUE,"SiemannDelius",0.704053192781189,FALSE,0.479372545929244,1.74914021018074,0.498085891942469
"120","HumScrm","62",TRUE,"SiemannDelius",0.620735891885739,FALSE,0.545863627346566,0.33696542309929,0.329495491196801
"121","HumScrm","63",TRUE,"SiemannDelius",0.704053192781189,FALSE,0.479372545929244,1.74914021018074,0.498085891942469
"122","HumScrm","64",TRUE,"SiemannDelius",0.69652024635187,FALSE,0.538266921475477,0.322836979021481,0.423301809259432
"123","HumScrm","65",TRUE,"SiemannDelius",0.693719081800726,FALSE,0.972475250604661,0.384315779108613,0.289813245215422
"124","HumScrm","66",TRUE,"SiemannDelius",0.74240794748379,FALSE,1.57148161692227,0.398135004139179,0.27442979910854
"125","HumScrm","67",TRUE,"SiemannDelius",0.680890468265045,FALSE,0.911639558095996,0.390093281185278,0.28364694672341
"126","HumScrm","68",TRUE,"SiemannDelius",0.55306905973985,FALSE,1.52980490753403,0.465138204579113,0.38371877749645
"127","HumScrm","69",TRUE,"SiemannDelius",0.61906845948518,FALSE,0.545338295051019,0.324036643509584,0.386839795914892
"128","HumScrm","70",TRUE,"SiemannDelius",0.709041973745988,FALSE,0.847250146368238,0.38520686038766,0.285303390128518
"129","HumScrm","71",TRUE,"SiemannDelius",0.684178437742476,FALSE,0.674777299254466,0.388661567175339,0.328865389020975
"130","HumScrm","72",TRUE,"SiemannDelius",0.677190279595839,FALSE,0.513749299195819,0.419888332765368,0.275563346439723
"131","HumScrm","73",TRUE,"SiemannDelius",0.671447689385935,FALSE,0.55317923068175,0.300491204463294,0.433922801017859
"132","HumScrm","74",TRUE,"SiemannDelius",0.554855551638404,FALSE,1.54355518166267,1.61983397321348,1.71504131001788
"133","HumScrm","75",TRUE,"SiemannDelius",0.646746712823454,FALSE,0.34262945012511,0.323457008654568,0.48903882824841
"134","HumScrm","76",TRUE,"SiemannDelius",0.535420876887538,FALSE,0.578122892478342,0.61852620899954,0.549706707243587
"135","HumScrm","77",TRUE,"SiemannDelius",0.668231856938959,FALSE,1.11385257398165,0.392198311871822,0.307533563837392
"136","Humans","1",TRUE,"SiemannDelius",0.761180087837586,FALSE,1.28217982150193,2.03774977037224,2.86155100944196
"137","Humans","3",TRUE,"SiemannDelius",0.641314462295105,FALSE,2.80269132389247,-0.967105368477,-1.24627146704149
"138","Humans","5",TRUE,"SiemannDelius",0.668883189020236,FALSE,1.97423040999797,0.343360153880057,2.36450010725763
"139","Humans","7",TRUE,"SiemannDelius",0.709871355284283,FALSE,1.01154501260861,0.315697762898456,1.78583502277612
"140","Humans","9",TRUE,"SiemannDelius",0.640444155238194,FALSE,-0.201603907937165,3.33840774121045,2.53958724209794
"141","Humans","11",TRUE,"SiemannDelius",0.738896174533198,FALSE,1.88173263063783,1.67286149841308,0.817911585026045
"142","Humans","13",TRUE,"SiemannDelius",0.751542205580935,FALSE,1.3633225343634,0.437771895696659,1.87756265365476
"143","Humans","15",TRUE,"SiemannDelius",0.757595217934977,FALSE,1.5719120346828,1.60042708973032,1.48081513836179
"144","Humans","21",TRUE,"SiemannDelius",0.741331120688272,FALSE,2.3258609785671,0.39054344009297,0.998147556397534
"145","Humans","23",TRUE,"SiemannDelius",0.637541614522999,FALSE,2.23919826454483,0.444421944043807,2.25875522167232
"146","Humans","25",TRUE,"SiemannDelius",0.548956465353202,FALSE,0.280249658334895,2.45496541831817,1.85794835047947
"147","Humans","27",TRUE,"SiemannDelius",0.673630743307392,FALSE,2.72907209276499,-0.164558216727691,0.540522425691867
"148","Humans","29",TRUE,"SiemannDelius",0.603621496704701,FALSE,1.61996841370034,0.389723506684972,0.83964119807476
"149","Humans","31",TRUE,"SiemannDelius",0.71722139234239,FALSE,1.46196306058565,1.00718486369077,1.56442560266372
"150","Humans","33",TRUE,"SiemannDelius",0.761801282127035,FALSE,1.4228878398452,0.627708744722622,1.47276020586679
"151","Humans","35",TRUE,"SiemannDelius",0.713175014628407,FALSE,1.73595544506856,0.360946988168386,2.4436008942381
"152","Humans","37",TRUE,"SiemannDelius",0.758511977814777,FALSE,1.5179301711486,0.278884168140282,1.46117319179796
"153","Humans","41",TRUE,"SiemannDelius",0.696051914775512,FALSE,1.24353633221346,0.191608016344178,1.50530434637002
"154","Humans","43",TRUE,"SiemannDelius",0.681850149198883,FALSE,1.60753701631389,1.83221905003936,0.892009870623271
"155","FHL","1",TRUE,"SiemannDelius",0.547811064880382,FALSE,0.230527720741041,1.57164069347754,0.71850444147245
"156","FHL","2",TRUE,"SiemannDelius",0.569939087504248,FALSE,2.81402240602943,1.56139068164748,2.41828381045323
"157","FHL","3",TRUE,"SiemannDelius",0.547470936033406,FALSE,1.03142163055495,1.66979216787588,1.45993840472189
"158","RGMDL1","1",TRUE,"SiemannDelius",0.57826124324754,FALSE,1.75672454425775,1.68733504547639,0.649388983034707
"159","RGMDL1","2",TRUE,"SiemannDelius",0.702727640290685,FALSE,0.28722063462271,0.460416880900107,0.537346624768566
"160","RGMDL1","3",TRUE,"SiemannDelius",0.584036853122468,FALSE,0.098821547860553,0.20246570677082,0.21861509646351
"161","RGMDL1","4",TRUE,"SiemannDelius",0.703150200537212,FALSE,1.78244872824382,1.66103404894319,0.972467852544806
